Source,Source_label,Target,Target_label,Trade.Flow,Weight,Year
348,Hungary,276,Germany,Export,273441,2015
826,United Kingdom,251,France,Export,272556,2015
826,United Kingdom,528,Netherlands,Export,265104,2015
458,Malaysia,156,China,Export,260630,2015
842,USA,490,"Other Asia, nes",Export,259286,2015
276,Germany,752,Sweden,Export,255826,2015
826,United Kingdom,372,Ireland,Export,254721,2015
757,Switzerland,344,"China, Hong Kong SAR",Export,253443,2015
842,USA,36,Australia,Export,250230,2015
276,Germany,792,Turkey,Export,249286,2015
381,Italy,826,United Kingdom,Export,249231,2015
276,Germany,643,Russian Federation,Export,247858,2015
276,Germany,348,Hungary,Export,240898,2015
251,France,757,Switzerland,Export,239383,2015
579,Norway,826,United Kingdom,Export,231572,2015
842,USA,784,United Arab Emirates,Export,229704,2015
842,USA,757,Switzerland,Export,222214,2015
381,Italy,724,Spain,Export,220075,2015
251,France,156,China,Export,215973,2015
757,Switzerland,699,India,Export,215799,2015
842,USA,699,India,Export,215296,2015
381,Italy,757,Switzerland,Export,213438,2015
724,Spain,381,Italy,Export,207583,2015
757,Switzerland,156,China,Export,202918,2015
724,Spain,826,United Kingdom,Export,202580,2015
724,Spain,620,Portugal,Export,199138,2015
276,Germany,410,Rep. of Korea,Export,198986,2015
392,Japan,702,Singapore,Export,198601,2015
842,USA,682,Saudi Arabia,Export,196902,2015
276,Germany,208,Denmark,Export,195139,2015
251,France,528,Netherlands,Export,192924,2015
276,Germany,392,Japan,Export,190042,2015
458,Malaysia,392,Japan,Export,189473,2015
458,Malaysia,842,USA,Export,189289,2015
579,Norway,276,Germany,Export,186806,2015
826,United Kingdom,56,Belgium,Export,176955,2015
757,Switzerland,251,France,Export,176433,2015
372,Ireland,826,United Kingdom,Export,171740,2015
703,Slovakia,276,Germany,Export,170687,2015
152,Chile,156,China,Export,166714,2015
842,USA,170,Colombia,Export,165031,2015
276,Germany,784,United Arab Emirates,Export,163337,2015
842,USA,381,Italy,Export,162462,2015
392,Japan,276,Germany,Export,162371,2015
381,Italy,56,Belgium,Export,161783,2015
372,Ireland,56,Belgium,Export,161641,2015
124,Canada,156,China,Export,158176,2015
842,USA,152,Chile,Export,155863,2015
757,Switzerland,381,Italy,Export,155854,2015
208,Denmark,276,Germany,Export,152918,2015
344,"China, Hong Kong SAR",392,Japan,Export,151877,2015
752,Sweden,579,Norway,Export,141081,2015
752,Sweden,276,Germany,Export,139822,2015
203,Czech Rep.,703,Slovakia,Export,139468,2015
620,Portugal,724,Spain,Export,137980,2015
276,Germany,703,Slovakia,Export,137182,2015
757,Switzerland,826,United Kingdom,Export,136910,2015
842,USA,376,Israel,Export,135615,2015
826,United Kingdom,724,Spain,Export,135356,2015
276,Germany,642,Romania,Export,135085,2015
792,Turkey,276,Germany,Export,134181,2015
36,Australia,410,Rep. of Korea,Export,132993,2015
616,Poland,826,United Kingdom,Export,132409,2015
826,United Kingdom,381,Italy,Export,128539,2015
392,Japan,36,Australia,Export,128535,2015
616,Poland,203,Czech Rep.,Export,126873,2015
724,Spain,842,USA,Export,126679,2015
392,Japan,704,Viet Nam,Export,125432,2015
124,Canada,826,United Kingdom,Export,124830,2015
276,Germany,484,Mexico,Export,123609,2015
842,USA,458,Malaysia,Export,122920,2015
381,Italy,616,Poland,Export,120693,2015
392,Japan,458,Malaysia,Export,120048,2015
642,Romania,276,Germany,Export,119697,2015
344,"China, Hong Kong SAR",699,India,Export,116242,2015
392,Japan,528,Netherlands,Export,115987,2015
381,Italy,156,China,Export,115528,2015
392,Japan,360,Indonesia,Export,115397,2015
458,Malaysia,764,Thailand,Export,114034,2015
842,USA,764,Thailand,Export,112465,2015
276,Germany,682,Saudi Arabia,Export,111475,2015
276,Germany,124,Canada,Export,111453,2015
276,Germany,76,Brazil,Export,110948,2015
381,Italy,792,Turkey,Export,110906,2015
276,Germany,699,India,Export,108911,2015
616,Poland,251,France,Export,108269,2015
276,Germany,710,South Africa,Export,107958,2015
392,Japan,826,United Kingdom,Export,107405,2015
381,Italy,528,Netherlands,Export,106728,2015
792,Turkey,826,United Kingdom,Export,105573,2015
484,Mexico,124,Canada,Export,105457,2015
579,Norway,528,Netherlands,Export,105312,2015
208,Denmark,839,Special Categories,Export,105279,2015
392,Japan,484,Mexico,Export,104745,2015
826,United Kingdom,784,United Arab Emirates,Export,104496,2015
208,Denmark,752,Sweden,Export,104464,2015
842,USA,724,Spain,Export,102486,2015
752,Sweden,842,USA,Export,101609,2015
826,United Kingdom,344,"China, Hong Kong SAR",Export,101377,2015
251,France,899,"Areas, nes",Export,101150,2015
276,Germany,246,Finland,Export,100349,2015
36,Australia,842,USA,Export,99774,2015
344,"China, Hong Kong SAR",704,Viet Nam,Export,98325,2015
752,Sweden,826,United Kingdom,Export,98186,2015
842,USA,792,Turkey,Export,95563,2015
344,"China, Hong Kong SAR",702,Singapore,Export,95543,2015
251,France,784,United Arab Emirates,Export,95326,2015
752,Sweden,208,Denmark,Export,95091,2015
392,Japan,608,Philippines,Export,94904,2015
458,Malaysia,344,"China, Hong Kong SAR",Export,94595,2015
381,Italy,40,Austria,Export,94552,2015
276,Germany,36,Australia,Export,93870,2015
703,Slovakia,203,Czech Rep.,Export,93553,2015
842,USA,32,Argentina,Export,93357,2015
616,Poland,381,Italy,Export,93294,2015
276,Germany,579,Norway,Export,92888,2015
752,Sweden,246,Finland,Export,92663,2015
203,Czech Rep.,616,Poland,Export,89912,2015
842,USA,372,Ireland,Export,89449,2015
344,"China, Hong Kong SAR",276,Germany,Export,89132,2015
251,France,792,Turkey,Export,88573,2015
724,Spain,528,Netherlands,Export,88202,2015
842,USA,604,Peru,Export,88114,2015
344,"China, Hong Kong SAR",490,"Other Asia, nes",Export,87413,2015
392,Japan,784,United Arab Emirates,Export,86949,2015
251,France,392,Japan,Export,85917,2015
251,France,616,Poland,Export,85569,2015
792,Turkey,368,Iraq,Export,85509,2015
616,Poland,528,Netherlands,Export,85324,2015
344,"China, Hong Kong SAR",764,Thailand,Export,84007,2015
276,Germany,620,Portugal,Export,83683,2015
842,USA,862,Venezuela,Export,83172,2015
826,United Kingdom,682,Saudi Arabia,Export,82996,2015
152,Chile,842,USA,Export,82622,2015
276,Germany,490,"Other Asia, nes",Export,82392,2015
372,Ireland,276,Germany,Export,82344,2015
203,Czech Rep.,826,United Kingdom,Export,81798,2015
458,Malaysia,699,India,Export,81286,2015
392,Japan,699,India,Export,81106,2015
246,Finland,276,Germany,Export,80999,2015
757,Switzerland,702,Singapore,Export,80145,2015
36,Australia,699,India,Export,79466,2015
842,USA,608,Philippines,Export,79088,2015
251,France,12,Algeria,Export,78835,2015
381,Italy,643,Russian Federation,Export,78798,2015
757,Switzerland,40,Austria,Export,78727,2015
203,Czech Rep.,251,France,Export,78449,2015
842,USA,591,Panama,Export,78311,2015
392,Japan,124,Canada,Export,77354,2015
124,Canada,392,Japan,Export,76280,2015
642,Romania,381,Italy,Export,75343,2015
458,Malaysia,360,Indonesia,Export,74696,2015
251,France,643,Russian Federation,Export,74481,2015
276,Germany,702,Singapore,Export,74067,2015
724,Spain,56,Belgium,Export,73838,2015
381,Italy,642,Romania,Export,73805,2015
604,Peru,156,China,Export,73329,2015
826,United Kingdom,410,Rep. of Korea,Export,72135,2015
458,Malaysia,36,Australia,Export,72088,2015
752,Sweden,528,Netherlands,Export,71585,2015
842,USA,214,Dominican Rep.,Export,71342,2015
842,USA,360,Indonesia,Export,71229,2015
344,"China, Hong Kong SAR",410,Rep. of Korea,Export,70998,2015
842,USA,643,Russian Federation,Export,70867,2015
842,USA,704,Viet Nam,Export,70717,2015
344,"China, Hong Kong SAR",826,United Kingdom,Export,69614,2015
579,Norway,251,France,Export,69226,2015
757,Switzerland,392,Japan,Export,68978,2015
792,Turkey,381,Italy,Export,68879,2015
251,France,702,Singapore,Export,68603,2015
381,Italy,784,United Arab Emirates,Export,68549,2015
392,Japan,682,Saudi Arabia,Export,68286,2015
724,Spain,504,Morocco,Export,68110,2015
372,Ireland,757,Switzerland,Export,67601,2015
826,United Kingdom,752,Sweden,Export,67053,2015
620,Portugal,251,France,Export,67010,2015
344,"China, Hong Kong SAR",528,Netherlands,Export,66626,2015
276,Germany,344,"China, Hong Kong SAR",Export,66330,2015
826,United Kingdom,392,Japan,Export,65898,2015
381,Italy,344,"China, Hong Kong SAR",Export,65527,2015
620,Portugal,276,Germany,Export,65367,2015
458,Malaysia,410,Rep. of Korea,Export,64762,2015
276,Germany,372,Ireland,Export,64721,2015
251,France,76,Brazil,Export,64067,2015
792,Turkey,842,USA,Export,63963,2015
203,Czech Rep.,40,Austria,Export,63871,2015
579,Norway,752,Sweden,Export,63217,2015
36,Australia,554,New Zealand,Export,62623,2015
703,Slovakia,616,Poland,Export,62329,2015
344,"China, Hong Kong SAR",784,United Arab Emirates,Export,62183,2015
842,USA,188,Costa Rica,Export,61499,2015
381,Italy,392,Japan,Export,61156,2015
458,Malaysia,490,"Other Asia, nes",Export,60973,2015
246,Finland,752,Sweden,Export,60499,2015
554,New Zealand,156,China,Export,60078,2015
208,Denmark,579,Norway,Export,60077,2015
458,Malaysia,528,Netherlands,Export,60055,2015
826,United Kingdom,702,Singapore,Export,60041,2015
826,United Kingdom,699,India,Export,59788,2015
752,Sweden,56,Belgium,Export,59448,2015
251,France,344,"China, Hong Kong SAR",Export,59268,2015
826,United Kingdom,124,Canada,Export,58738,2015
842,USA,218,Ecuador,Export,58716,2015
757,Switzerland,56,Belgium,Export,58680,2015
842,USA,320,Guatemala,Export,58638,2015
792,Turkey,251,France,Export,58507,2015
276,Germany,442,Luxembourg,Export,58235,2015
554,New Zealand,36,Australia,Export,58219,2015
251,France,752,Sweden,Export,57968,2015
826,United Kingdom,36,Australia,Export,57840,2015
251,France,410,Rep. of Korea,Export,57611,2015
203,Czech Rep.,381,Italy,Export,57535,2015
251,France,682,Saudi Arabia,Export,57152,2015
752,Sweden,251,France,Export,57138,2015
616,Poland,643,Russian Federation,Export,57070,2015
381,Italy,682,Saudi Arabia,Export,56948,2015
792,Turkey,757,Switzerland,Export,56808,2015
724,Spain,792,Turkey,Export,56495,2015
757,Switzerland,724,Spain,Export,56368,2015
381,Italy,203,Czech Rep.,Export,56075,2015
724,Spain,837,Bunkers,Export,55897,2015
826,United Kingdom,616,Poland,Export,55101,2015
344,"China, Hong Kong SAR",446,"China, Macao SAR",Export,54902,2015
705,Slovenia,276,Germany,Export,54875,2015
842,USA,710,South Africa,Export,54591,2015
152,Chile,392,Japan,Export,54583,2015
208,Denmark,826,United Kingdom,Export,54180,2015
372,Ireland,528,Netherlands,Export,54117,2015
826,United Kingdom,792,Turkey,Export,53984,2015
372,Ireland,251,France,Export,53373,2015
724,Spain,616,Poland,Export,53344,2015
276,Germany,458,Malaysia,Export,53214,2015
752,Sweden,156,China,Export,53214,2015
616,Poland,752,Sweden,Export,53142,2015
757,Switzerland,784,United Arab Emirates,Export,53140,2015
36,Australia,899,"Areas, nes",Export,52619,2015
392,Japan,251,France,Export,52613,2015
348,Hungary,642,Romania,Export,52521,2015
842,USA,340,Honduras,Export,52384,2015
208,Denmark,842,USA,Export,52196,2015
616,Poland,724,Spain,Export,52144,2015
579,Norway,56,Belgium,Export,52128,2015
276,Germany,300,Greece,Export,51999,2015
616,Poland,348,Hungary,Export,51632,2015
124,Canada,484,Mexico,Export,51447,2015
392,Japan,56,Belgium,Export,51210,2015
392,Japan,643,Russian Federation,Export,51073,2015
36,Australia,702,Singapore,Export,50921,2015
251,France,504,Morocco,Export,50860,2015
276,Germany,705,Slovenia,Export,50697,2015
757,Switzerland,528,Netherlands,Export,50415,2015
458,Malaysia,276,Germany,Export,50413,2015
604,Peru,842,USA,Export,50183,2015
381,Italy,410,Rep. of Korea,Export,49945,2015
348,Hungary,703,Slovakia,Export,49938,2015
757,Switzerland,682,Saudi Arabia,Export,49840,2015
724,Spain,156,China,Export,49441,2015
616,Poland,703,Slovakia,Export,48932,2015
484,Mexico,156,China,Export,48851,2015
826,United Kingdom,579,Norway,Export,48445,2015
348,Hungary,40,Austria,Export,48047,2015
724,Spain,484,Mexico,Export,47491,2015
842,USA,818,Egypt,Export,47483,2015
36,Australia,490,"Other Asia, nes",Export,47478,2015
826,United Kingdom,899,"Areas, nes",Export,47442,2015
792,Turkey,724,Spain,Export,47429,2015
392,Japan,591,Panama,Export,47133,2015
251,France,620,Portugal,Export,47081,2015
251,France,124,Canada,Export,46927,2015
792,Turkey,784,United Arab Emirates,Export,46814,2015
348,Hungary,381,Italy,Export,46734,2015
381,Italy,752,Sweden,Export,46632,2015
579,Norway,842,USA,Export,46495,2015
348,Hungary,251,France,Export,46325,2015
276,Germany,376,Israel,Export,46003,2015
381,Italy,12,Algeria,Export,45924,2015
381,Italy,348,Hungary,Export,45895,2015
203,Czech Rep.,348,Hungary,Export,45228,2015
276,Germany,764,Thailand,Export,45024,2015
616,Poland,842,USA,Export,44684,2015
458,Malaysia,704,Viet Nam,Export,44657,2015
344,"China, Hong Kong SAR",36,Australia,Export,44432,2015
251,France,699,India,Export,43615,2015
724,Spain,757,Switzerland,Export,43358,2015
372,Ireland,392,Japan,Export,43127,2015
344,"China, Hong Kong SAR",251,France,Export,43102,2015
203,Czech Rep.,528,Netherlands,Export,43010,2015
381,Italy,76,Brazil,Export,42936,2015
703,Slovakia,40,Austria,Export,42836,2015
752,Sweden,616,Poland,Export,42654,2015
703,Slovakia,251,France,Export,42496,2015
842,USA,634,Qatar,Export,42318,2015
251,France,788,Tunisia,Export,42274,2015
703,Slovakia,348,Hungary,Export,41990,2015
616,Poland,56,Belgium,Export,41864,2015
251,France,484,Mexico,Export,41773,2015
381,Italy,300,Greece,Export,41733,2015
703,Slovakia,826,United Kingdom,Export,41654,2015
372,Ireland,724,Spain,Export,41628,2015
152,Chile,410,Rep. of Korea,Export,41318,2015
642,Romania,251,France,Export,41247,2015
251,France,203,Czech Rep.,Export,41207,2015
381,Italy,705,Slovenia,Export,40848,2015
381,Italy,124,Canada,Export,40842,2015
203,Czech Rep.,724,Spain,Export,40590,2015
554,New Zealand,842,USA,Export,40161,2015
246,Finland,842,USA,Export,40039,2015
842,USA,40,Austria,Export,39914,2015
381,Italy,36,Australia,Export,39645,2015
251,France,818,Egypt,Export,39491,2015
842,USA,752,Sweden,Export,39318,2015
392,Japan,76,Brazil,Export,39310,2015
251,France,348,Hungary,Export,39303,2015
348,Hungary,203,Czech Rep.,Export,39008,2015
579,Norway,208,Denmark,Export,38990,2015
826,United Kingdom,643,Russian Federation,Export,38940,2015
251,France,136,Cayman Isds,Export,38895,2015
251,France,40,Austria,Export,38757,2015
381,Italy,484,Mexico,Export,38634,2015
348,Hungary,826,United Kingdom,Export,38627,2015
320,Guatemala,842,USA,Export,38605,2015
344,"China, Hong Kong SAR",757,Switzerland,Export,38426,2015
246,Finland,528,Netherlands,Export,38258,2015
276,Germany,100,Bulgaria,Export,38182,2015
484,Mexico,76,Brazil,Export,37989,2015
344,"China, Hong Kong SAR",484,Mexico,Export,37608,2015
276,Germany,818,Egypt,Export,37604,2015
251,France,642,Romania,Export,37588,2015
348,Hungary,616,Poland,Export,37500,2015
381,Italy,620,Portugal,Export,37438,2015
36,Australia,360,Indonesia,Export,37297,2015
381,Italy,699,India,Export,37142,2015
208,Denmark,528,Netherlands,Export,37087,2015
620,Portugal,826,United Kingdom,Export,37030,2015
842,USA,616,Poland,Export,37010,2015
344,"China, Hong Kong SAR",458,Malaysia,Export,36985,2015
203,Czech Rep.,842,USA,Export,36865,2015
484,Mexico,170,Colombia,Export,36681,2015
792,Turkey,364,Iran,Export,36642,2015
757,Switzerland,124,Canada,Export,36583,2015
724,Spain,12,Algeria,Export,36313,2015
842,USA,554,New Zealand,Export,36313,2015
752,Sweden,381,Italy,Export,36168,2015
842,USA,579,Norway,Export,35953,2015
392,Japan,381,Italy,Export,35942,2015
792,Turkey,643,Russian Federation,Export,35895,2015
348,Hungary,842,USA,Export,35706,2015
203,Czech Rep.,56,Belgium,Export,35693,2015
484,Mexico,724,Spain,Export,35345,2015
826,United Kingdom,208,Denmark,Export,35179,2015
484,Mexico,276,Germany,Export,35087,2015
251,France,634,Qatar,Export,35011,2015
440,Lithuania,643,Russian Federation,Export,34800,2015
792,Turkey,682,Saudi Arabia,Export,34726,2015
276,Germany,804,Ukraine,Export,34548,2015
246,Finland,643,Russian Federation,Export,34436,2015
724,Spain,682,Saudi Arabia,Export,34420,2015
442,Luxembourg,276,Germany,Export,34278,2015
36,Australia,458,Malaysia,Export,34241,2015
616,Poland,40,Austria,Export,34203,2015
842,USA,566,Nigeria,Export,34103,2015
703,Slovakia,381,Italy,Export,34011,2015
458,Malaysia,608,Philippines,Export,33839,2015
826,United Kingdom,710,South Africa,Export,33675,2015
381,Italy,788,Tunisia,Export,33617,2015
124,Canada,699,India,Export,33540,2015
251,France,36,Australia,Export,33508,2015
348,Hungary,724,Spain,Export,33074,2015
616,Poland,804,Ukraine,Export,33036,2015
348,Hungary,528,Netherlands,Export,32972,2015
826,United Kingdom,76,Brazil,Export,32761,2015
381,Italy,818,Egypt,Export,32711,2015
642,Romania,348,Hungary,Export,32591,2015
344,"China, Hong Kong SAR",608,Philippines,Export,32587,2015
208,Denmark,156,China,Export,32581,2015
36,Australia,764,Thailand,Export,32517,2015
842,USA,222,El Salvador,Export,32467,2015
752,Sweden,899,"Areas, nes",Export,32347,2015
392,Japan,512,Oman,Export,32203,2015
100,Bulgaria,276,Germany,Export,32082,2015
300,Greece,381,Italy,Export,31833,2015
616,Poland,642,Romania,Export,31788,2015
203,Czech Rep.,643,Russian Federation,Export,31665,2015
792,Turkey,528,Netherlands,Export,31549,2015
124,Canada,410,Rep. of Korea,Export,31502,2015
792,Turkey,818,Egypt,Export,31250,2015
826,United Kingdom,634,Qatar,Export,31154,2015
344,"China, Hong Kong SAR",360,Indonesia,Export,31118,2015
152,Chile,76,Brazil,Export,31096,2015
616,Poland,208,Denmark,Export,31077,2015
616,Poland,792,Turkey,Export,31007,2015
124,Canada,344,"China, Hong Kong SAR",Export,30587,2015
276,Germany,440,Lithuania,Export,30525,2015
458,Malaysia,784,United Arab Emirates,Export,30386,2015
724,Spain,76,Brazil,Export,30320,2015
484,Mexico,392,Japan,Export,30169,2015
757,Switzerland,410,Rep. of Korea,Export,30070,2015
579,Norway,156,China,Export,29895,2015
705,Slovenia,381,Italy,Export,29889,2015
276,Germany,32,Argentina,Export,29782,2015
276,Germany,360,Indonesia,Export,29599,2015
826,United Kingdom,203,Czech Rep.,Export,29596,2015
344,"China, Hong Kong SAR",381,Italy,Export,29190,2015
276,Germany,191,Croatia,Export,29190,2015
381,Italy,899,"Areas, nes",Export,29148,2015
276,Germany,837,Bunkers,Export,29072,2015
251,France,372,Ireland,Export,29034,2015
246,Finland,826,United Kingdom,Export,28951,2015
381,Italy,191,Croatia,Export,28634,2015
381,Italy,208,Denmark,Export,28607,2015
251,France,579,Norway,Export,28577,2015
620,Portugal,842,USA,Export,28482,2015
792,Turkey,838,Free Zones,Export,28439,2015
757,Switzerland,764,Thailand,Export,28406,2015
372,Ireland,381,Italy,Export,28200,2015
792,Turkey,642,Romania,Export,28156,2015
246,Finland,156,China,Export,27964,2015
251,France,208,Denmark,Export,27887,2015
36,Australia,826,United Kingdom,Export,27853,2015
124,Canada,528,Netherlands,Export,27816,2015
276,Germany,12,Algeria,Export,27793,2015
381,Italy,703,Slovakia,Export,27717,2015
484,Mexico,410,Rep. of Korea,Export,27701,2015
842,USA,414,Kuwait,Export,27506,2015
724,Spain,392,Japan,Export,27474,2015
344,"China, Hong Kong SAR",56,Belgium,Export,27446,2015
251,France,703,Slovakia,Export,27375,2015
381,Italy,376,Israel,Export,27328,2015
616,Poland,579,Norway,Export,27311,2015
208,Denmark,251,France,Export,27183,2015
124,Canada,276,Germany,Export,27048,2015
392,Japan,757,Switzerland,Export,27016,2015
792,Turkey,376,Israel,Export,26981,2015
251,France,360,Indonesia,Export,26974,2015
752,Sweden,724,Spain,Export,26969,2015
604,Peru,757,Switzerland,Export,26945,2015
392,Japan,710,South Africa,Export,26899,2015
251,France,490,"Other Asia, nes",Export,26871,2015
344,"China, Hong Kong SAR",124,Canada,Export,26700,2015
276,Germany,152,Chile,Export,26681,2015
642,Romania,826,United Kingdom,Export,26416,2015
36,Australia,704,Viet Nam,Export,26106,2015
616,Poland,440,Lithuania,Export,26060,2015
757,Switzerland,792,Turkey,Export,26035,2015
222,El Salvador,842,USA,Export,25806,2015
208,Denmark,616,Poland,Export,25678,2015
276,Germany,704,Viet Nam,Export,25647,2015
792,Turkey,56,Belgium,Export,25579,2015
757,Switzerland,36,Australia,Export,25291,2015
36,Australia,784,United Arab Emirates,Export,25168,2015
842,USA,780,Trinidad and Tobago,Export,25116,2015
440,Lithuania,428,Latvia,Export,25067,2015
203,Czech Rep.,757,Switzerland,Export,24922,2015
440,Lithuania,616,Poland,Export,24785,2015
724,Spain,752,Sweden,Export,24689,2015
124,Canada,251,France,Export,24539,2015
826,United Kingdom,40,Austria,Export,24466,2015
36,Australia,344,"China, Hong Kong SAR",Export,24298,2015
233,Estonia,752,Sweden,Export,24219,2015
276,Germany,634,Qatar,Export,24154,2015
792,Turkey,156,China,Export,24149,2015
757,Switzerland,643,Russian Federation,Export,24106,2015
276,Germany,608,Philippines,Export,23936,2015
458,Malaysia,826,United Kingdom,Export,23919,2015
642,Romania,792,Turkey,Export,23914,2015
842,USA,44,Bahamas,Export,23888,2015
392,Japan,724,Spain,Export,23843,2015
276,Germany,688,Serbia,Export,23753,2015
124,Canada,56,Belgium,Export,23688,2015
100,Bulgaria,381,Italy,Export,23680,2015
842,USA,512,Oman,Export,23642,2015
344,"China, Hong Kong SAR",376,Israel,Export,23526,2015
276,Germany,364,Iran,Export,23484,2015
251,France,300,Greece,Export,23361,2015
620,Portugal,24,Angola,Export,23308,2015
792,Turkey,616,Poland,Export,23294,2015
251,France,442,Luxembourg,Export,23253,2015
208,Denmark,246,Finland,Export,23230,2015
203,Czech Rep.,752,Sweden,Export,23221,2015
604,Peru,124,Canada,Export,23059,2015
251,France,710,South Africa,Export,22766,2015
724,Spain,203,Czech Rep.,Export,22618,2015
724,Spain,40,Austria,Export,22482,2015
100,Bulgaria,792,Turkey,Export,22267,2015
842,USA,208,Denmark,Export,22240,2015
705,Slovenia,40,Austria,Export,22135,2015
620,Portugal,528,Netherlands,Export,22099,2015
724,Spain,300,Greece,Export,22030,2015
757,Switzerland,616,Poland,Export,22007,2015
381,Italy,100,Bulgaria,Export,21812,2015
381,Italy,702,Singapore,Export,21761,2015
392,Japan,792,Turkey,Export,21616,2015
251,France,837,Bunkers,Export,21598,2015
276,Germany,504,Morocco,Export,21546,2015
251,France,246,Finland,Export,21457,2015
757,Switzerland,76,Brazil,Export,21443,2015
484,Mexico,251,France,Export,21272,2015
208,Denmark,381,Italy,Export,21154,2015
392,Japan,554,New Zealand,Export,21125,2015
381,Italy,710,South Africa,Export,21116,2015
251,France,764,Thailand,Export,21053,2015
100,Bulgaria,642,Romania,Export,20992,2015
703,Slovakia,724,Spain,Export,20735,2015
705,Slovenia,191,Croatia,Export,20718,2015
554,New Zealand,392,Japan,Export,20631,2015
233,Estonia,246,Finland,Export,20627,2015
826,United Kingdom,458,Malaysia,Export,20571,2015
724,Spain,410,Rep. of Korea,Export,20568,2015
826,United Kingdom,246,Finland,Export,20528,2015
276,Germany,170,Colombia,Export,20462,2015
300,Greece,276,Germany,Export,20405,2015
724,Spain,642,Romania,Export,20401,2015
579,Norway,410,Rep. of Korea,Export,20398,2015
579,Norway,616,Poland,Export,20242,2015
642,Romania,100,Bulgaria,Export,20216,2015
724,Spain,784,United Arab Emirates,Export,20201,2015
616,Poland,156,China,Export,20173,2015
842,USA,292,Gibraltar,Export,20055,2015
152,Chile,699,India,Export,20035,2015
440,Lithuania,276,Germany,Export,19932,2015
757,Switzerland,490,"Other Asia, nes",Export,19913,2015
348,Hungary,792,Turkey,Export,19858,2015
842,USA,203,Czech Rep.,Export,19760,2015
842,USA,368,Iraq,Export,19696,2015
484,Mexico,826,United Kingdom,Export,19680,2015
203,Czech Rep.,642,Romania,Export,19535,2015
826,United Kingdom,484,Mexico,Export,19525,2015
826,United Kingdom,348,Hungary,Export,19498,2015
826,United Kingdom,620,Portugal,Export,19111,2015
792,Turkey,31,Azerbaijan,Export,18987,2015
300,Greece,792,Turkey,Export,18987,2015
203,Czech Rep.,792,Turkey,Export,18960,2015
826,United Kingdom,764,Thailand,Export,18884,2015
251,France,376,Israel,Export,18802,2015
724,Spain,643,Russian Federation,Export,18783,2015
344,"China, Hong Kong SAR",724,Spain,Export,18768,2015
842,USA,12,Algeria,Export,18765,2015
392,Japan,414,Kuwait,Export,18653,2015
484,Mexico,152,Chile,Export,18614,2015
792,Turkey,795,Turkmenistan,Export,18580,2015
246,Finland,899,"Areas, nes",Export,18538,2015
703,Slovakia,528,Netherlands,Export,18430,2015
484,Mexico,699,India,Export,18413,2015
842,USA,586,Pakistan,Export,18378,2015
203,Czech Rep.,156,China,Export,18357,2015
372,Ireland,156,China,Export,18356,2015
484,Mexico,528,Netherlands,Export,18343,2015
251,France,458,Malaysia,Export,18319,2015
792,Turkey,12,Algeria,Export,18260,2015
